-128,84,-16144
-88,28,-16196
-144,72,-16220
-132,8,-16220
-100,64,-16208
-144,8,-16168
-180,36,-16184
-88,44,-16080
-116,56,-16164
-200,4,-16236
-144,28,-16164
-72,28,-16152
-132,44,-16148
-152,24,-16144
-124,0,-16124
-120,48,-16048
-88,4,-16188
-152,44,-16144
-104,60,-16188
-112,-8,-16136
-152,52,-16108
-152,4,-16100
-128,-16,-16112
-152,52,-16160
-136,48,-16180
-152,128,-16084
-108,-20,-16200
-220,24,-16048
-216,-12,-16164
-108,100,-16092
-104,16,-16188
-164,-20,-16084
-160,48,-16096
-100,68,-16180
-120,20,-16116
-80,-56,-16164
-132,32,-16100
-176,16,-16168
-116,32,-16148
-100,56,-16236
-68,4,-16136
-108,16,-16088
-156,88,-16140
-132,28,-16108
-176,28,-16012
-68,40,-16272
-140,-20,-16072
-84,12,-16116
-132,40,-16220
-164,-8,-16168
-156,20,-16100
-116,32,-16128
-120,12,-16048
-128,16,-16104
-88,12,-16124
-152,16,-16004
-160,56,-16060
-84,8,-16132
-124,44,-16164
-180,80,-16212
-148,56,-16016
-80,56,-16024
-132,48,-16120
-140,12,-16148
-80,40,-16120
-100,44,-16208
-124,-4,-16072
-156,4,-16148
-156,52,-16072
-164,68,-16140
-140,12,-16208
-176,24,-16052
-128,44,-16108
-96,-40,-16168
-220,16,-16156
-116,8,-16156
-80,24,-16140
-128,-4,-16124
-124,0,-16144
-108,20,-16100
-124,44,-16132
-116,44,-16172
-88,-4,-16140
-200,28,-16112
-92,24,-16100
-132,44,-16088
-120,4,-16212
-184,56,-16108
-108,20,-16152
-168,32,-16120
-80,24,-16132
-116,52,-16160
-184,-36,-16060
-176,24,-16184
-140,52,-16180
-152,0,-16108
-168,36,-16140
8,108,-16360
40,508,-16744
-112,12,-16020
-84,36,-16240
-136,-16,-16004
-164,64,-16320
-1284,-20,-16136
504,-608,-16320
504,-276,-16220
332,-992,-16876
52,-816,-16012
-404,-1112,-15868
-484,-1104,-15424
24,-1004,-17388
-308,-1732,-17344
-40,-1984,-16552
-164,-2620,-16144
-340,-3628,-14992
-204,-4764,-14884
388,-5320,-14948
420,-6032,-14480
-228,-6116,-14456
1184,-6988,-14444
424,-6808,-14100
480,-7196,-14300
592,-7524,-14388
732,-7572,-14384
384,-7924,-14424
520,-8220,-13552
260,-8260,-13852
84,-8408,-13900
-20,-8580,-13596
100,-8636,-13552
152,-8816,-13216
252,-8956,-13448
252,-9072,-13680
-108,-9200,-13124
-96,-9436,-12352
280,-9396,-13340
36,-9372,-13000
80,-9496,-13072
8,-9552,-12832
232,-9636,-12772
216,-9712,-12948
108,-9716,-12468
180,-9604,-12712
176,-9528,-13308
28,-9444,-13272
40,-9512,-13372
32,-9604,-12936
124,-9704,-12604
116,-9812,-12740
60,-9784,-12500
116,-9816,-12660
60,-9908,-12464
108,-9932,-12692
-4,-10012,-12512
104,-10028,-12540
116,-10164,-12584
8,-10128,-12384
36,-10164,-12408
172,-10160,-12700
48,-10160,-12484
124,-10256,-12524
88,-10384,-12304
124,-10400,-12544
-696,-10052,-12260
344,-10420,-12200
168,-10408,-12300
44,-10392,-12228
108,-10452,-12292
64,-10380,-12108
80,-10456,-12248
124,-10344,-12272
128,-10224,-11876
96,-10124,-11820
1112,-9732,-11332
260,-8476,-11272
588,-7396,-15692
-288,-6712,-15972
-228,-6244,-14816
428,-5360,-15372
-764,-5552,-13308
404,-5632,-15316
1176,-5508,-15228
492,-5076,-15472
1076,-4884,-15788
2940,-4520,-15776
2952,-4952,-15248
4000,-4512,-15240
5284,-4188,-15588
4772,-3036,-14300
5608,-3632,-13844
6396,-2860,-14844
7112,-3024,-13384
8944,-1944,-14548
8032,-2372,-13288
10052,-1564,-13584
9404,-2340,-12820
10644,-1636,-13372
10404,-1700,-12568
11472,-1408,-12868
9912,-1828,-12504
10024,-908,-11396
10264,-1288,-11708
11140,-828,-12604
11664,-188,-11900
10992,-364,-12264
10640,-156,-11656
11192,72,-12132
10700,296,-11772
10492,148,-12340
10200,1408,-11552
10352,1812,-13736
9544,2564,-12896
9260,3284,-13636
9220,2876,-13264
8452,3928,-13268
7936,4408,-12880
8008,5404,-13228
7752,5748,-13660
7716,5904,-12848
7796,6324,-13084
7484,6776,-13180
7400,6828,-12880
6692,7392,-12612
6816,7800,-12472
6080,8244,-12524
5988,9256,-11980
5524,9852,-12304
5420,9852,-12268
5180,9996,-11560
5184,9704,-11532
4720,10408,-11104
4840,10788,-11092
4828,10936,-10916
5248,10860,-10216
4800,11096,-10612
4720,11676,-10484
4600,11808,-10408
4424,11716,-10152
4460,11876,-10236
4488,11988,-9840
4464,12088,-9936
4600,12236,-9528
4508,12420,-9840
4404,12400,-9672
4424,12340,-9740
4344,12516,-9160
4600,12544,-9144
4780,12872,-8952
4884,12620,-8768
5204,12584,-8628
5700,12432,-8980
6388,12320,-8988
7500,12884,-9740
6688,11700,-8572
7896,11168,-9700
7548,11232,-8768
8144,10912,-9384
8320,10964,-9304
8060,9812,-9956
7900,8828,-10916
7488,8660,-9540
7320,7736,-11452
7528,6864,-13188
7392,6228,-12964
6952,5172,-15104
6936,3748,-14932
6256,2952,-15136
6320,1244,-15472
6280,556,-14556
6132,-172,-16204
5960,-1776,-15044
5816,-1660,-15416
6504,-3060,-13984
5664,-2788,-13764
7844,-3164,-13412
8360,-3152,-13068
9428,-3580,-13856
9396,-3872,-13048
8956,-4300,-13532
8660,-4296,-13528
7768,-4280,-12992
7764,-4404,-13268
5632,-4348,-13832
3692,-4176,-14968
2540,-3340,-15688
1776,-2828,-16036
812,-1756,-16060
-512,-676,-16312
-1100,696,-15656
-888,876,-16588
-736,1228,-15708
856,1556,-15504
1492,1776,-16464
2296,2936,-15720
2760,3340,-15656
2936,3768,-15504
3112,5032,-14512
2868,5072,-15240
3304,4748,-15080
3500,3932,-15844
3984,2144,-15920
3912,1040,-16000
3336,-784,-14472
3328,-956,-15528
3428,-1628,-15252
3388,-1876,-15624
4688,-2468,-17416
3064,-3132,-13084
5232,-3548,-15116
6180,-2920,-14320
6960,-2472,-14600
8080,-1896,-14924
8040,-1924,-14948
8088,-1684,-16960
3580,-1208,-14860
872,-700,-15412
136,-1316,-15720
-1000,-836,-15876
-1220,-796,-15920
-1772,-508,-15892
-1836,-16,-16284
-1760,204,-16576
-1960,328,-15884
-2352,512,-15336
-2644,204,-15564
-2940,640,-15832
-3036,-160,-16092
-3644,-328,-15256
-4032,-396,-15336
-3932,-492,-15328
-4216,-36,-16592
-4364,-568,-15168
-3796,-176,-15664
-3628,-1584,-15960
-2936,-2248,-16176
-2644,-2332,-15744
-1380,-3536,-15360
-948,-4540,-15864
-512,-4768,-15136
-596,-5680,-14436
-156,-5280,-14084
-400,-5084,-14304
-1184,-4584,-14992
-632,-3360,-14584
388,-1796,-15752
2024,-1092,-17316
3756,-512,-18332
2948,1076,-17348
1860,2232,-15884
1112,4168,-14336
1308,4628,-15096
1720,4040,-16092
2392,2148,-15696
2060,332,-15548
2568,892,-15636
1840,3992,-16416
2152,3908,-16104
1676,856,-16680
956,-400,-15800
1276,-1960,-16324
2320,-2888,-16492
1108,-3316,-15604
1372,-4132,-14712
2656,-4452,-13484
7708,-4972,-20044
6412,-4856,-14576
6808,-3608,-14116
6396,-2632,-14776
6072,-932,-15524
4600,1160,-14936
3416,3392,-15796
3344,4072,-15940
3040,4996,-15736
3044,5388,-14796
2976,6628,-15552
3800,5960,-14596
3632,6796,-14164
5240,6368,-13956
6036,5828,-14584
6484,5424,-13252
7740,5760,-12948
8432,5620,-12960
8636,5376,-12068
9600,5572,-13556
9516,5024,-11592
10548,4956,-11428
11404,4420,-10984
11332,4212,-10332
12128,3860,-10844
11768,3808,-10532
12084,3740,-10220
12112,3536,-10548
12388,3404,-10524
12260,3576,-10316
12484,3412,-10272
12176,3592,-10340
12344,3360,-10152
12640,3444,-10740
12468,3292,-10116
12940,3228,-10108
12676,3212,-10580
12828,3216,-9008
13176,2540,-10700
12708,3100,-9260
12612,2880,-9820
12304,2696,-8916
13760,2152,-9688
13192,1772,-9920
13376,2040,-8784
14704,1888,-9144
14324,1436,-7116
14548,1412,-9244
14428,1412,-7316
14484,1384,-7668
14660,1148,-6288
15024,972,-7312
15028,1420,-6960
14952,1652,-7096
15564,772,-6992
14784,1268,-7096
15476,1256,-6820
14800,784,-7212
14612,1016,-6792
14508,860,-8320
13352,780,-9180
11772,1272,-11540
10356,896,-11440
10444,668,-13476
8936,820,-12892
7908,1236,-14824
6876,1044,-14188
5024,2124,-15732
4596,1648,-15108
3516,2472,-16128
2536,1364,-15404
1320,1052,-15908
1540,756,-15824
-116,1600,-16448
-396,1764,-16600
-1284,1820,-16240
-1288,3648,-15272
-1412,4272,-14656
-788,5332,-15084
-676,4748,-14724
160,4528,-15532
900,2676,-17120
44,2164,-17420
-1320,568,-15520
-3804,580,-14200
-5300,1496,-13992
-4600,1808,-16092
-2292,832,-17488
-3388,-428,-15928
-2280,-1852,-15808
-1420,-2828,-13664
-336,-1564,-14236
772,-516,-15488
3768,356,-17040
3244,344,-15956
5044,1012,-15232
4012,1684,-16424
3496,1596,-17492
1428,4024,-16532
768,4652,-14324
824,4164,-16028
408,3316,-16380
168,2436,-15564
-1636,2400,-16584
-492,-684,-16352
-1264,-348,-17020
-1624,-2196,-13824
356,-2776,-15608
2036,-3936,-14680
2556,-1776,-16036
1552,-92,-16076
-524,2520,-16412
-268,4656,-15160
196,5340,-15680
-1604,4892,-15048
20,3764,-16124
772,3732,-16036
844,4760,-15488
-36,4348,-15580
128,4608,-15228
2928,4300,-19196
4996,4756,-15648
4336,3412,-14028
6048,2584,-14628
7848,1840,-14260
8904,1180,-14200
8932,-748,-14012
7784,-1188,-13976
7940,-2440,-13144
8256,-1888,-13664
9244,-2468,-13884
8756,-3308,-14132
8220,-3532,-12440
7920,-3368,-14224
7096,-2708,-14704
3996,-980,-15808
1724,-1352,-15688
712,-632,-16000
-468,-1280,-16652
-1204,-592,-15880
-1852,-1372,-17368
-2928,-1092,-14788
-3636,-1028,-15244
-3452,-1012,-15300
-4024,-1268,-15440
-4388,-860,-14900
-4940,-1024,-15660
-5728,-488,-14812
-5736,-584,-15024
-5428,-680,-14500
-5148,-352,-15760
-4884,-444,-14620
-3892,-448,-15896
-2728,-252,-15856
-76,-488,-15940
2556,-568,-16052
4960,-628,-15452
5768,-104,-15944
6708,-324,-14428
6956,-252,-16256
4028,-812,-14636
-716,144,-14572
-2960,-156,-15380
-3420,-156,-15088
1664,-512,-16708
3876,-1196,-17912
3408,-636,-17748
-256,4,-12988
-596,728,-11904
3460,-668,-20040
3320,-952,-18572
-428,12,-14460
-2156,2484,-10404
4320,-412,-19696
3924,-1856,-20368
-4440,2800,-9064
3536,340,-16444
4340,-552,-22628
-1468,116,-14248
-328,1892,-9244
3548,504,-22436
1960,-1652,-18116
-4500,2928,-6256
4288,180,-17540
5144,-844,-21468
-888,1036,-13132
1180,1556,-15464
2400,-2400,-19144
688,-4480,-14140
-636,-4580,-12236
680,-2660,-14556
-1044,1936,-16000
472,2228,-18248
1324,-4148,-19296
-396,-4988,-12684
180,-2068,-13080
-1588,3748,-15836
128,4500,-18604
192,688,-17240
-12,-2576,-16052
424,-3080,-15432
256,-3624,-13960
748,-3884,-13372
1008,-2716,-15500
-180,-168,-17464
-1232,3684,-17004
-432,2176,-17400
-804,-964,-15436
-460,-2892,-13448
960,920,-18188
-260,4228,-16720
56,2056,-17260
-744,-1832,-16468
316,-3016,-16124
-224,-4172,-13560
-72,-4060,-12680
0,-1388,-15740
-452,2228,-17676
-1568,4244,-17012
-2616,6504,-16264
-848,5200,-14660
-1036,6420,-14844
-788,6720,-14508
-264,7172,-13900
-192,7588,-14584
56,7960,-13840
-280,8336,-13952
172,8176,-13832
372,7804,-13996
192,7004,-13680
520,6220,-14788
716,4664,-15420
976,3200,-16808
-1280,3528,-15016
-1112,3104,-15128
552,808,-17008
-236,476,-16472
-2004,-88,-15376
284,1668,-17052
-556,2596,-17048
-4880,2176,-18636
-380,1712,-16088
184,3144,-18592
-1532,768,-15860
-1016,1464,-15448
-1588,1656,-13840
-660,1244,-15604
