-887,-169,104
-861,-172,43
-900,-229,55
-897,-151,80
-879,-186,75
-889,-172,72
-929,-149,57
-898,-175,93
-906,-176,49
-935,-167,58
-942,-167,56
-903,-173,43
-893,-190,76
-918,-160,58
-883,-173,43
-883,-197,45
-920,-139,55
-883,-210,48
-909,-154,91
-920,-153,49
-923,-178,71
-911,-162,53
-871,-169,51
-881,-121,88
-880,-165,78
-877,-202,86
-909,-175,80
-881,-163,56
-877,-150,55
-874,-183,82
-874,-200,105
-899,-208,73
-869,-161,34
-895,-153,65
-935,-174,61
-898,-177,65
-925,-181,75
-899,-161,66
-876,-146,71
-876,-158,84
-892,-163,87
-913,-189,76
-862,-164,49
-873,-185,69
-878,-205,64
-917,-190,39
-893,-162,105
-906,-150,45
-863,-176,59
-875,-194,46
-906,-175,56
-881,-171,79
-906,-177,54
-871,-192,71
-890,-143,55
-921,-164,65
-858,-155,46
-900,-155,56
-887,-163,70
-875,-152,28
-902,-199,83
-897,-213,72
-914,-197,47
-896,-205,54
-869,-206,40
-922,-185,80
-905,-158,62
-891,-179,53
-886,-198,79
-912,-171,74
-869,-179,100
-912,-206,60
-888,-180,44
-897,-189,79
-906,-160,50
-876,-190,61
-914,-177,64
-871,-173,97
-905,-187,58
-930,-170,92
-880,-174,54
-919,-177,64
-895,-232,76
-891,-179,50
-930,-160,75
-884,-208,63
-908,-155,72
-880,-170,74
-887,-184,74
-889,-166,49
-911,-202,54
-881,-179,72
-926,-192,79
-908,-192,53
-919,-142,97
-880,-211,46
-868,-193,88
-890,-185,77
-821,-240,85
-882,-145,50
-868,-189,41
-962,-121,4
-786,-237,-122
-156,-250,821
479,-342,419
1168,275,94
802,892,311
40,-2384,677
737,981,761
-508,-407,186
754,-246,146
3500,-136,50
4955,-255,267
5460,-432,391
5162,928,503
4072,584,118
3537,1094,465
2619,970,870
2041,2732,142
1283,1393,681
847,-413,508
569,-495,259
1131,-681,322
1204,-1018,339
1372,-957,110
761,-515,449
362,-472,318
111,-598,402
12,-730,189
35,-216,166
-9,-203,159
241,-26,334
606,9,485
540,-75,246
-995,-206,-41
-633,-140,145
-492,-189,101
71,-144,117
-161,-166,97
-566,-190,37
-830,-184,84
-1456,-160,79
-1690,-177,67
-1137,-113,68
-824,-170,76
-188,-120,75
-10,-167,43
-153,-170,29
-271,-204,36
-547,-189,32
-574,-167,39
-619,-207,54
-290,-174,52
-450,-200,2
-461,-234,-8
-407,-181,115
-825,-176,50
-814,-138,40
-575,-197,55
-508,-173,17
-237,-170,103
-410,-165,69
-172,-139,102
-873,-222,69
-875,-88,62
-912,-137,109
-889,-171,60
-970,-212,105
-1293,-172,33
